id,user_id,recipe_id,type,timestamp,rating,difficulty_used
int_1,user_1,recipe_6,view,2025-11-20T06:17:48.190535Z,,
int_10,user_2,recipe_13,cook,2025-11-20T06:17:51.203876Z,3,medium
int_100,user_9,recipe_3,cook,2025-11-20T06:18:08.553359Z,5,medium
int_101,user_9,recipe_13,view,2025-11-20T06:18:08.691290Z,,
int_102,user_9,recipe_7,view,2025-11-20T06:18:08.777185Z,,
int_103,user_9,recipe_7,like,2025-11-20T06:18:08.842931Z,,
int_104,user_9,recipe_11,view,2025-11-20T06:18:08.927356Z,,
int_105,user_9,recipe_11,like,2025-11-20T06:18:09.006571Z,,
int_106,user_9,recipe_15,view,2025-11-20T06:18:09.086563Z,,
int_107,user_9,recipe_15,cook,2025-11-20T06:18:09.177229Z,5,hard
int_108,user_9,recipe_6,view,2025-11-20T06:18:09.247482Z,,
int_109,user_9,recipe_6,cook,2025-11-20T06:18:09.327250Z,3,hard
int_11,user_2,recipe_6,view,2025-11-20T06:17:51.266174Z,,
int_110,user_9,recipe_5,view,2025-11-20T06:18:09.426547Z,,
int_111,user_9,recipe_10,view,2025-11-20T06:18:09.503883Z,,
int_112,user_9,recipe_14,view,2025-11-20T06:18:09.673165Z,,
int_113,user_9,recipe_12,view,2025-11-20T06:18:09.812566Z,,
int_114,user_9,recipe_12,like,2025-11-20T06:18:09.887067Z,,
int_115,user_9,recipe_12,cook,2025-11-20T06:18:09.963929Z,5,medium
int_116,user_10,recipe_9,view,2025-11-20T06:18:10.126109Z,,
int_117,user_10,recipe_9,like,2025-11-20T06:18:10.290337Z,,
int_118,user_10,recipe_3,view,2025-11-20T06:18:10.363643Z,,
int_119,user_10,recipe_3,cook,2025-11-20T06:18:10.530538Z,4,hard
int_12,user_2,recipe_6,like,2025-11-20T06:17:51.330693Z,,
int_120,user_10,recipe_13,view,2025-11-20T06:18:10.602868Z,,
int_121,user_10,recipe_10,view,2025-11-20T06:18:10.681889Z,,
int_122,user_10,recipe_15,view,2025-11-20T06:18:10.849699Z,,
